target_id,n_chains,n_residues
1A2K,2,320
1ACB,2,301
1AHW,3,628
1AK4,2,290
1AKJ,3,488
1ATN,2,630
1AVX,2,395
1AY7,2,185
1AZS,3,718
1B6C,2,433
1BKD,2,605
1BUH,2,357
1BVN,2,567
1CGI,2,298
1CLV,2,502
1D6R,2,281
1DE4,3,1006
1DFJ,2,580
1DQJ,3,553
1E4K,2,388
1E6E,2,570
1E6J,3,615
1E96,2,363
1EAW,2,297
1EER,2,379
1EFN,2,161
1EWY,2,391
1EXB,2,417
1EZU,2,363
1F34,2,463
1F51,2,300
1F6M,2,427
1FAK,3,542
1FC2,2,227
1FCC,2,261
1FFW,2,195
1FLE,2,286
1FQ1,2,478
1FQJ,2,450
1GCQ,2,126
1GHQ,2,436
1GL1,2,272
1GLA,2,650
1GP2,3,727
1GPW,2,453
1GRN,2,388
1GXD,2,815
1H1V,2,695
1H9D,2,245
1HCF,3,342
1HE1,2,311
1HE8,2,915
1HIA,3,278
1I2M,2,553
1I4D,3,548
1IB1,2,405
1IBR,2,626
1IJK,3,451
1IRA,2,456
1J2J,2,206
1JIW,2,574
1JK9,2,395
1JMO,3,720
1JPS,3,626
1JTD,2,535
1JTG,2,426
1JWH,2,535
1JZD,2,336
1K5D,3,696
1K74,3,514
1KAC,2,309
1KKL,2,253
1KLU,3,599
1KTZ,2,188
1KXP,2,787
1LFD,2,253
1M10,2,466
1M27,3,176
1MAH,2,594
1ML0,2,435
1MLC,3,561
1MQ8,2,360
1N2C,3,1274
1NW9,2,329
1OC0,2,400
1OFU,2,424
1OPH,2,598
1OYV,2,377
1PPE,2,251
1PVH,2,369
1PXV,2,292
1QA9,2,197
1R0R,2,325
1R6Q,2,228
1R8S,2,347
1RKE,2,438
1RLB,3,412
1RV6,2,185
1S1Q,2,208
1S78,3,991
1SBB,2,435
1SYX,2,196
1T6B,2,846
1TMQ,2,587
1UDI,2,310
1US7,2,398
1VFB,3,352
1WDW,2,625
1WEJ,3,541
1WQ1,2,486
1XD3,2,304
1XQS,2,429
1XU1,2,175
1Y64,2,767
1YVB,2,351
1Z0K,2,230
1Z5Y,2,254
1ZHH,2,552
1ZHI,2,320
1ZLI,2,379
1ZM4,2,1029
2A1A,2,430
2A5T,2,546
2A9K,2,376
2ABZ,2,360
2AJF,2,771
2AYO,2,429
2B42,2,548
2B4J,3,361
2BTF,2,513
2C0L,2,414
2CFH,2,310
2DD8,3,624
2FD6,3,675
2FJG,3,524
2FJU,2,872
2G77,2,503
2GAF,2,733
2GTP,2,442
2H7V,2,451
2HLE,2,321
2HQS,2,520
2HRK,2,282
2I25,2,243
2I9B,2,386
2IDO,2,246
2J0T,2,284
2J7P,2,556
2MTA,3,603
2NZ8,2,456
2O3B,2,375
2O8V,2,337
2OOB,2,116
2OOR,3,914
2OT3,2,410
2OUL,2,347
2OZA,2,671
2PCC,2,402
2SIC,2,382
2SNI,2,339
2UUY,2,275
2VDB,2,628
2VIS,3,698
2VXT,3,576
2W9E,3,526
2X9A,2,151
2YVJ,2,508
2Z0E,2,432
3A4S,2,217
3AAA,3,634
3AAD,2,417
3BIW,2,710
3BP8,3,835
3BX7,2,293
3CPH,2,615
3D5S,2,361
3DAW,2,512
3EO1,3,543
3EOA,3,608
3F1P,2,225
3FN1,2,252
3G6D,3,539
3H11,3,446
3H2V,2,248
3HI6,3,606
3HMX,4,902
3K75,2,399
3L5W,3,537
3L89,4,676
3LVK,2,464
3MJ9,3,648
3MXW,3,585
3P57,2,195
3PC8,2,174
3R9A,2,676
3RJQ,2,419
3RVW,3,651
3S9D,2,306
3SE8,3,779
3SGQ,2,235
3SZK,3,404
3U7Y,3,769
3V6Z,3,588
3VLB,2,622
3WD5,3,572
4CPA,2,343
4DN4,3,488
4DW2,3,645
4ETQ,3,652
4FP8,3,718
4FQI,4,926
4FZA,2,605
4G6J,3,575
4G6M,3,565
4GAM,4,1197
4GXU,4,936
4H03,2,771
4HX3,3,356
4IZ7,2,434
4JCV,3,601
4LW4,3,935
4M3K,2,376
4M5Z,3,642
4M76,2,475
4POU,2,240
4Y7M,2,370
5C7X,3,535
5CBA,3,300
5E5M,2,227
5GRJ,3,439
5HGG,2,373
5HYS,3,653
5JMO,2,588
5KOV,4,657
5O14,3,662
5O1R,3,552
5SV3,2,292
5VNW,2,703
5WHK,4,776
5WK3,3,498
5WUX,4,702
5X0T,3,506
5Y9J,3,572
6A0Z,3,705
6A77,3,519
6AL0,3,612
6B0S,3,492
6BPC,3,709
6CWG,2,389
6DBG,2,404
6EY6,3,519
6OC3,3,649
7CEI,2,214
BAAD,2,416
BOYV,2,378
BP57,2,195
CP57,2,195
