target_id,difficulty,category
1A2K,rigid,OG
1ACB,difficult,EI
1AHW,rigid,AA
1AK4,rigid,OX
1AKJ,rigid,OX
1ATN,difficult,OX
1AVX,rigid,EI
1AY7,rigid,EI
1AZS,rigid,OG
1B6C,medium,OX
1BKD,difficult,OG
1BUH,rigid,EI
1BVN,rigid,EI
1CGI,medium,EI
1CLV,rigid,EI
1D6R,rigid,EI
1DE4,difficult,OX
1DFJ,rigid,EI
1DQJ,rigid,AA
1E4K,difficult,OR
1E6E,rigid,ES
1E6J,rigid,AA
1E96,rigid,OG
1EAW,rigid,EI
1EER,difficult,OR
1EFN,rigid,OX
1EWY,rigid,ES
1EXB,rigid,OX
1EZU,rigid,EI
1F34,rigid,EI
1F51,rigid,ER
1F6M,difficult,ES
1FAK,difficult,OR
1FC2,medium,OX
1FCC,rigid,OX
1FFW,rigid,OX
1FLE,rigid,EI
1FQ1,difficult,ES
1FQJ,rigid,OG
1GCQ,rigid,OX
1GHQ,rigid,OR
1GL1,rigid,EI
1GLA,rigid,ER
1GP2,medium,OG
1GPW,rigid,OX
1GRN,medium,OG
1GXD,rigid,EI
1H1V,difficult,OX
1H9D,rigid,OX
1HCF,rigid,OR
1HE1,rigid,OG
1HE8,medium,OG
1HIA,rigid,EI
1I2M,medium,OG
1I4D,rigid,OG
1IB1,medium,OX
1IBR,difficult,OG
1IJK,medium,ER
1IRA,difficult,OR
1J2J,rigid,OG
1JIW,medium,EI
1JK9,difficult,ES
1JMO,difficult,ER
1JPS,rigid,AA
1JTD,rigid,EI
1JTG,rigid,EI
1JWH,rigid,ER
1JZD,difficult,ER
1K5D,medium,OG
1K74,rigid,OR
1KAC,rigid,OR
1KKL,medium,ES
1KLU,rigid,OX
1KTZ,rigid,OR
1KXP,rigid,OX
1LFD,medium,OG
1M10,medium,ER
1M27,rigid,OX
1MAH,rigid,EI
1ML0,rigid,OR
1MLC,rigid,AA
1MQ8,medium,OX
1N2C,medium,OX
1NW9,medium,ER
1OC0,rigid,ER
1OFU,rigid,OX
1OPH,rigid,EI
1OYV,rigid,EI
1PPE,rigid,EI
1PVH,rigid,OR
1PXV,difficult,EI
1QA9,rigid,OX
1R0R,rigid,EI
1R6Q,medium,ER
1R8S,difficult,OG
1RKE,difficult,OX
1RLB,rigid,OX
1RV6,rigid,OR
1S1Q,rigid,OX
1S78,rigid,AA
1SBB,rigid,OR
1SYX,medium,OX
1T6B,rigid,OR
1TMQ,rigid,EI
1UDI,rigid,EI
1US7,rigid,ER
1VFB,rigid,AA
1WDW,rigid,ER
1WEJ,rigid,AA
1WQ1,medium,OG
1XD3,rigid,OX
1XQS,medium,OX
1XU1,rigid,OR
1Y64,difficult,OX
1YVB,rigid,EI
1Z0K,rigid,OG
1Z5Y,rigid,ES
1ZHH,rigid,OR
1ZHI,rigid,OX
1ZLI,difficult,EI
1ZM4,medium,ES
2A1A,rigid,ES
2A5T,rigid,OX
2A9K,rigid,ES
2ABZ,rigid,EI
2AJF,rigid,OR
2AYO,rigid,ER
2B42,rigid,EI
2B4J,rigid,OX
2BTF,rigid,OX
2C0L,difficult,OX
2CFH,medium,OX
2DD8,medium,AA
2FD6,rigid,AA
2FJG,difficult,AA
2FJU,rigid,OG
2G77,rigid,OG
2GAF,rigid,ER
2GTP,rigid,OG
2H7V,medium,OG
2HLE,rigid,OR
2HQS,rigid,OX
2HRK,medium,OX
2I25,rigid,AS
2I9B,difficult,OR
2IDO,difficult,ES
2J0T,rigid,EI
2J7P,difficult,OX
2MTA,rigid,ES
2NZ8,medium,ER
2O3B,difficult,EI
2O8V,rigid,ES
2OOB,rigid,ES
2OOR,rigid,ER
2OT3,difficult,ER
