pdb_id,source_file,status,note
1ACB,1ACB.pdb,ok,
1AHW,1AHW.pdb,ok,
1AK4,1AK4.pdb,ok,
1AKJ,1AKJ.pdb,ok,
1ATN,1ATN.pdb,ok,
1AVX,1AVX.pdb,ok,
1AY7,1AY7.pdb,ok,
1AZS,1AZS.pdb,ok,
1B6C,1B6C.pdb,ok,
1BGX,1BGX.pdb,ok,
1BJ1,1BJ1.pdb,ok,
1BKD,1BKD.pdb,ok,
1BUH,1BUH.pdb,ok,
1BVK,1BVK.pdb,ok,
1BVN,1BVN.pdb,ok,
1CGI,1CGI.pdb,ok,
1CLV,1CLV.pdb,ok,
1D6R,1D6R.pdb,ok,
1DE4,1DE4.pdb,ok,
1DFJ,1DFJ.pdb,ok,
1DQJ,1DQJ.pdb,ok,
1E4K,1E4K.pdb,ok,
1E6E,1E6E.pdb,ok,
1E6J,1E6J.pdb,ok,
1E96,1E96.pdb,ok,
1EAW,1EAW.pdb,ok,
1EER,1EER.pdb,ok,
1EFN,1EFN.pdb,ok,
1EWY,1EWY.pdb,ok,
1EXB,1EXB.pdb,ok,
1EZU,1EZU.pdb,ok,
1F34,1F34.pdb,ok,
1F51,1F51.pdb,ok,
1F6M,1F6M.pdb,ok,
1FAK,1FAK.pdb,ok,
1FC2,1FC2.pdb,ok,
1FCC,1FCC.pdb,ok,
1FFW,1FFW.pdb,ok,
1FLE,1FLE.pdb,ok,
1FQ1,1FQ1.pdb,ok,
1FQJ,1FQJ.pdb,ok,
1FSK,1FSK.pdb,ok,
1GCQ,1GCQ.pdb,ok,
1GHQ,1GHQ.pdb,ok,
1GL1,1GL1.pdb,ok,
1GLA,1GLA.pdb,ok,
1GP2,1GP2.pdb,ok,
1GPW,1GPW.pdb,ok,
1GRN,1GRN.pdb,ok,
1GXD,1GXD.pdb,ok,
1H1V,1H1V.pdb,ok,
1H9D,1H9D.pdb,ok,
1HCF,1HCF.pdb,ok,
1HE1,1HE1.pdb,ok,
1HE8,1HE8.pdb,ok,
1HIA,1HIA.pdb,ok,
1I2M,1I2M.pdb,ok,
1I4D,1I4D.pdb,ok,
1I9R,1I9R.pdb,ok,
1IB1,1IB1.pdb,ok,
1IBR,1IBR.pdb,ok,
1IJK,1IJK.pdb,ok,
1IQD,1IQD.pdb,ok,
1IRA,1IRA.pdb,ok,
1J2J,1J2J.pdb,ok,
1JIW,1JIW.pdb,ok,
1JK9,1JK9.pdb,ok,
1JMO,1JMO.pdb,ok,
1JPS,1JPS.pdb,ok,
1JTD,1JTD.pdb,ok,
1JTG,1JTG.pdb,ok,
1JWH,1JWH.pdb,ok,
1JZD,1JZD.pdb,ok,
1K4C,1K4C.pdb,ok,
1K5D,1K5D.pdb,ok,
1K74,1K74.pdb,ok,
1KAC,1KAC.pdb,ok,
1KKL,1KKL.pdb,ok,
1KLU,1KLU.pdb,ok,
1KTZ,1KTZ.pdb,ok,
1KXP,1KXP.pdb,ok,
1KXQ,1KXQ.pdb,ok,
1LFD,1LFD.pdb,ok,
1M10,1M10.pdb,ok,
1M27,1M27.pdb,ok,
1MAH,1MAH.pdb,ok,
1ML0,1ML0.pdb,ok,
1MLC,1MLC.pdb,ok,
1MQ8,1MQ8.pdb,ok,
1N2C,1N2C.pdb,ok,
1NCA,1NCA.pdb,ok,
1NSN,1NSN.pdb,ok,
1NW9,1NW9.pdb,ok,
1OC0,1OC0.pdb,ok,
