pipeline	source_no_amber	source_with_amber	metric	n_paired	mean_delta	median_delta	ci_low	ci_high	paired_t_p	wilcoxon_p	cliffs_d	effect_label	paired_t_q	wilcoxon_q
blue	af_unrelaxed	amber_af	dockq	257	0.00093	0.0	0.00025	0.00161	0.007424	0.027303	0.0272	negligible	0.014848	0.034749
blue	af_unrelaxed	amber_af	i_rmsd	257	0.01563	0.0102	0.01281	0.01845	0.0	0.0	0.7743	large	0.0	0.0
blue	af_unrelaxed	amber_af	l_rmsd	257	0.02507	0.0098	0.00341	0.04673	0.023446	0.0	0.6848	large	0.043766	0.0
blue	af_unrelaxed	amber_af	f_nat	257	0.00487	0.00218	0.00282	0.00692	5e-06	2e-06	0.2179	small	1.4e-05	4e-06
blue	af_relaxed	amber_af	dockq	257	-0.00015	-0.0	-0.0003	-1e-05	0.033033	0.002368	-0.1518	small	0.054407	0.003315
blue	af_relaxed	amber_af	i_rmsd	257	0.00077	0.0	-0.00072	0.00227	0.309346	0.364963	0.0233	negligible	0.40199	0.42579
blue	af_relaxed	amber_af	l_rmsd	257	0.01084	0.0	-0.0104	0.03208	0.315849	0.997271	-0.0233	negligible	0.40199	0.997271
blue	af_relaxed	amber_af	f_nat	257	-0.00046	0.0	-0.00088	-4e-05	0.032289	0.01052	-0.1556	small	0.054407	0.014027
blue	boltz	amber_boltz	dockq	257	0.00089	0.00016	0.00043	0.00136	0.000185	0.000173	0.1051	negligible	0.000432	0.000269
blue	boltz	amber_boltz	i_rmsd	257	0.00174	0.0068	-0.01004	0.01351	0.771731	0.0	0.8093	large	0.771731	0.0
blue	boltz	amber_boltz	l_rmsd	257	0.00453	0.0054	0.00019	0.00888	0.040792	0.0	0.6148	large	0.063454	0.0
blue	boltz	amber_boltz	f_nat	257	0.00433	0.00256	0.00291	0.00575	0.0	0.0	0.3463	medium	0.0	0.0
green	af_unrelaxed	amber_af	dockq	257	0.00105	0.00032	0.00048	0.00162	0.000326	0.000902	0.0973	negligible	0.000702	0.001329
green	af_unrelaxed	amber_af	i_rmsd	257	0.01342	0.0098	0.0105	0.01634	0.0	0.0	0.7704	large	0.0	0.0
green	af_unrelaxed	amber_af	l_rmsd	257	0.00511	0.011	-0.01103	0.02125	0.533646	0.0	0.677	large	0.597684	0.0
green	af_unrelaxed	amber_af	f_nat	257	0.0052	0.00314	0.0035	0.00691	0.0	0.0	0.3035	small	0.0	0.0
green	af_relaxed	amber_af	dockq	257	6e-05	0.0	-7e-05	0.00018	0.374968	0.488255	0.0545	negligible	0.456483	0.527006
green	af_relaxed	amber_af	i_rmsd	257	-0.0036	0.0	-0.00883	0.00164	0.177475	0.914613	0.0272	negligible	0.248465	0.948488
green	af_relaxed	amber_af	l_rmsd	257	0.00358	0.0	-0.00925	0.01641	0.58337	0.112597	-0.07	negligible	0.628245	0.137075
green	af_relaxed	amber_af	f_nat	257	0.00016	0.0	-0.00021	0.00053	0.394954	0.489363	0.035	negligible	0.46078	0.527006
green	boltz	amber_boltz	dockq	257	0.00106	0.00018	0.00059	0.00153	1.3e-05	7e-06	0.1362	negligible	3.3e-05	1.2e-05
green	boltz	amber_boltz	i_rmsd	257	0.00189	0.0066	-0.00934	0.01311	0.740763	0.0	0.7704	large	0.768199	0.0
green	boltz	amber_boltz	l_rmsd	257	0.00424	0.0052	-0.0011	0.00957	0.119316	0.0	0.5759	large	0.175834	0.0
green	boltz	amber_boltz	f_nat	257	0.00476	0.00232	0.00333	0.00619	0.0	0.0	0.3191	small	0.0	0.0
green	crystal	amber_crystal	dockq	257	-0.0216	-0.0122	-0.02562	-0.01758	0.0	0.0	-1.0	large	0.0	0.0
green	crystal	amber_crystal	i_rmsd	257	0.24625	0.173	0.21831	0.27418	0.0	0.0	1.0	large	0.0	0.0
green	crystal	amber_crystal	l_rmsd	257	0.27666	0.194	0.24346	0.30985	0.0	0.0	1.0	large	0.0	0.0
green	crystal	amber_crystal	f_nat	257	-0.0248	-0.0192	-0.02828	-0.02131	0.0	0.0	-0.6887	large	0.0	0.0
