pipeline	pair	protocol	metric	n_paired	amber_mean	std_mean	mean_diff	diff_ci_lo	diff_ci_hi	paired_t_p	wilcoxon_p
blue	amber_boltz_vs_boltz	normal_beta	rota_outliers	253	0.02608	0.03245	-0.00637	-0.01265	-0.0001	0.04648	0.0086
blue	amber_boltz_vs_boltz	normal_ref15	rota_outliers	253	0.03	0.03258	-0.00259	-0.00819	0.00302	0.36481	0.16566
blue	amber_boltz_vs_boltz	dualspace_beta	rota_outliers	253	0.01585	0.02216	-0.00631	-0.01066	-0.00196	0.00467	0.0132
blue	amber_af_vs_af_relaxed	normal_beta	rota_outliers	253	0.03732	0.0374	-8e-05	-0.00314	0.00297	0.95701	0.4106
blue	amber_af_vs_af_relaxed	normal_ref15	rota_outliers	253	0.03157	0.03087	0.0007	-0.00193	0.00332	0.60247	0.33288
blue	amber_af_vs_af_relaxed	dualspace_beta	rota_outliers	253	0.01545	0.01593	-0.00047	-0.00254	0.00159	0.6524	0.71003
blue	amber_crystal_vs_crystal	normal_beta	rota_outliers	252	0.05144	0.0595	-0.00806	-0.02302	0.00691	0.29023	0.31706
blue	amber_crystal_vs_crystal	normal_ref15	rota_outliers	252	0.0484	0.05669	-0.00829	-0.02102	0.00443	0.20051	0.22303
blue	amber_crystal_vs_crystal	dualspace_beta	rota_outliers	252	0.02107	0.0196	0.00147	-0.005	0.00794	0.65522	0.57818
green	amber_boltz_vs_boltz	normal_beta	rota_outliers	254	0.0287	0.03602	-0.00732	-0.01301	-0.00163	0.01193	0.00368
green	amber_boltz_vs_boltz	normal_ref15	rota_outliers	254	0.03081	0.03486	-0.00405	-0.01005	0.00195	0.18458	0.21289
green	amber_boltz_vs_boltz	dualspace_beta	rota_outliers	255	0.01764	0.02235	-0.00471	-0.00881	-0.00061	0.0244	0.11727
green	amber_af_vs_af_relaxed	normal_beta	rota_outliers	256	0.0377	0.03937	-0.00167	-0.00495	0.00161	0.31641	0.34447
green	amber_af_vs_af_relaxed	normal_ref15	rota_outliers	256	0.0338	0.03398	-0.00017	-0.00393	0.00358	0.92827	0.50404
green	amber_af_vs_af_relaxed	dualspace_beta	rota_outliers	256	0.0182	0.01762	0.00058	-0.00152	0.00268	0.5852	0.84957
green	amber_crystal_vs_crystal	normal_beta	rota_outliers	248	0.05202	0.06097	-0.00894	-0.02454	0.00665	0.25966	0.10535
green	amber_crystal_vs_crystal	normal_ref15	rota_outliers	247	0.04903	0.06228	-0.01325	-0.02768	0.00119	0.07189	0.07268
green	amber_crystal_vs_crystal	dualspace_beta	rota_outliers	251	0.02684	0.02394	0.0029	-0.00615	0.01195	0.52828	0.23113
