difficulty	pipeline	pair	protocol	metric	n_paired	amber_mean	std_mean	mean_delta	median_delta	ci_low	ci_high	paired_t_p	wilcoxon_p	cliffs_d	effect_label	paired_t_q	wilcoxon_q
rigid	blue	amber_boltz_vs_boltz	normal_beta	rota_outliers	162	0.02642	0.03248	-0.00606	0.0	-0.01434	0.00223	0.150747	0.182326	-0.1111	negligible	0.478843	0.468838
rigid	blue	amber_boltz_vs_boltz	normal_ref15	rota_outliers	162	0.02872	0.02879	-7e-05	0.0	-0.00722	0.00708	0.984786	0.614071	-0.0741	negligible	0.984786	0.77704
rigid	blue	amber_boltz_vs_boltz	dualspace_beta	rota_outliers	162	0.01625	0.02308	-0.00683	0.0	-0.01287	-0.00079	0.026853	0.096045	-0.0679	negligible	0.325166	0.398394
rigid	blue	amber_af_vs_af_relaxed	normal_beta	rota_outliers	162	0.03487	0.03507	-0.0002	0.0	-0.00402	0.00362	0.917758	0.519755	-0.0679	negligible	0.971744	0.77704
rigid	blue	amber_af_vs_af_relaxed	normal_ref15	rota_outliers	162	0.02856	0.02805	0.0005	0.0	-0.00272	0.00372	0.757833	0.560854	0.0556	negligible	0.89556	0.77704
rigid	blue	amber_af_vs_af_relaxed	dualspace_beta	rota_outliers	162	0.01424	0.01393	0.00031	0.0	-0.00231	0.00294	0.814001	0.817936	0.0802	negligible	0.89556	0.86605
rigid	blue	amber_crystal_vs_crystal	normal_beta	rota_outliers	162	0.03663	0.05523	-0.0186	0.0	-0.03709	-0.00012	0.048537	0.107919	-0.0741	negligible	0.349832	0.398394
rigid	blue	amber_crystal_vs_crystal	normal_ref15	rota_outliers	162	0.04341	0.04357	-0.00016	0.0	-0.01464	0.01432	0.982564	0.945216	0.0062	negligible	0.984786	0.955522
rigid	blue	amber_crystal_vs_crystal	dualspace_beta	rota_outliers	162	0.01644	0.01851	-0.00206	0.0	-0.01119	0.00707	0.656196	0.647503	-0.0185	negligible	0.89556	0.793005
rigid	green	amber_boltz_vs_boltz	normal_beta	rota_outliers	162	0.02975	0.0363	-0.00655	0.0	-0.01453	0.00143	0.107208	0.113912	-0.0926	negligible	0.439027	0.398394
rigid	green	amber_boltz_vs_boltz	normal_ref15	rota_outliers	162	0.02944	0.03107	-0.00163	0.0	-0.00955	0.00629	0.684644	0.955522	0.0185	negligible	0.89556	0.955522
rigid	green	amber_boltz_vs_boltz	dualspace_beta	rota_outliers	162	0.01918	0.02307	-0.00389	0.0	-0.00935	0.00156	0.160662	0.371485	-0.0617	negligible	0.481986	0.691731
rigid	green	amber_af_vs_af_relaxed	normal_beta	rota_outliers	162	0.0348	0.03584	-0.00104	0.0	-0.00499	0.00292	0.60526	0.699864	0.0123	negligible	0.860106	0.793005
rigid	green	amber_af_vs_af_relaxed	normal_ref15	rota_outliers	162	0.03148	0.03082	0.00065	0.0	-0.00401	0.00532	0.782235	0.719579	-0.0247	negligible	0.89556	0.793005
rigid	green	amber_af_vs_af_relaxed	dualspace_beta	rota_outliers	162	0.01571	0.01601	-0.0003	0.0	-0.003	0.00241	0.829222	0.618754	-0.0802	negligible	0.89556	0.77704
