pipeline	pair	protocol	metric	n_paired	amber_mean	std_mean	mean_diff	diff_ci_lo	diff_ci_hi	paired_t_p	wilcoxon_p
blue	amber_boltz_vs_boltz	normal_beta	molprobity_score	257	0.2193	0.2134	0.006	-0.0034	0.0154	0.21311	0.54336
blue	amber_boltz_vs_boltz	normal_beta	clashscore	257	0.6381	0.6104	0.0277	-0.0424	0.0978	0.4369	0.36872
blue	amber_boltz_vs_boltz	dualspace_beta	molprobity_score	257	0.222	0.2266	-0.0046	-0.0102	0.001	0.10515	0.01586
blue	amber_boltz_vs_boltz	dualspace_beta	clashscore	257	0.6775	0.6975	-0.02	-0.0409	0.0009	0.06094	0.00635
blue	amber_af_vs_af_relaxed	normal_beta	molprobity_score	257	0.2354	0.2355	-0.0001	-0.0038	0.0035	0.94608	0.72975
blue	amber_af_vs_af_relaxed	normal_beta	clashscore	257	0.6463	0.6565	-0.0103	-0.0312	0.0106	0.33339	0.88905
blue	amber_af_vs_af_relaxed	dualspace_beta	molprobity_score	257	0.2262	0.2258	0.0004	-0.0022	0.0031	0.75679	0.46805
blue	amber_af_vs_af_relaxed	dualspace_beta	clashscore	257	0.6865	0.688	-0.0015	-0.0115	0.0085	0.76828	0.60339
green	amber_boltz_vs_boltz	normal_beta	molprobity_score	257	0.2195	0.2131	0.0063	-0.004	0.0167	0.23092	0.59543
green	amber_boltz_vs_boltz	normal_beta	clashscore	257	0.6397	0.6003	0.0394	-0.0402	0.119	0.33072	0.29185
green	amber_boltz_vs_boltz	dualspace_beta	molprobity_score	257	0.2268	0.2245	0.0023	-0.0031	0.0077	0.40375	0.56836
green	amber_boltz_vs_boltz	dualspace_beta	clashscore	257	0.6929	0.6893	0.0035	-0.0172	0.0242	0.73651	0.8747
green	amber_af_vs_af_relaxed	normal_beta	molprobity_score	257	0.238	0.237	0.001	-0.003	0.005	0.63303	0.96334
green	amber_af_vs_af_relaxed	normal_beta	clashscore	257	0.6847	0.6659	0.0188	-0.0126	0.0502	0.2398	0.50395
green	amber_af_vs_af_relaxed	dualspace_beta	molprobity_score	257	0.2296	0.2289	0.0008	-0.0019	0.0034	0.57243	0.92455
green	amber_af_vs_af_relaxed	dualspace_beta	clashscore	257	0.6992	0.6957	0.0035	-0.0063	0.0133	0.47929	0.97767
