difficulty	pipeline	pair	protocol	metric	n_paired	amber_mean	std_mean	mean_delta	median_delta	ci_low	ci_high	paired_t_p	wilcoxon_p	cliffs_d	effect_label	paired_t_q	wilcoxon_q
rigid	blue	amber_boltz_vs_boltz	normal_beta	molprobity_score	162	0.21307	0.20893	0.00414	-0.0028	-0.00511	0.01339	0.378381	0.836679	-0.0617	negligible	0.907824	0.948599
rigid	blue	amber_boltz_vs_boltz	normal_beta	clashscore	162	0.55326	0.56996	-0.0167	-0.023	-0.04589	0.01249	0.260228	0.172927	-0.1543	small	0.907824	0.890302
rigid	blue	amber_boltz_vs_boltz	dualspace_beta	molprobity_score	162	0.22032	0.2239	-0.00358	-0.0082	-0.01066	0.0035	0.319289	0.053494	-0.1667	small	0.907824	0.890302
rigid	blue	amber_boltz_vs_boltz	dualspace_beta	clashscore	162	0.66364	0.6815	-0.01786	-0.0292	-0.04385	0.00813	0.176732	0.019092	-0.2346	small	0.907824	0.890302
rigid	blue	amber_af_vs_af_relaxed	normal_beta	molprobity_score	162	0.22941	0.22898	0.00043	0.0004	-0.0043	0.00517	0.85631	0.755215	0.0247	negligible	0.960308	0.948599
rigid	blue	amber_af_vs_af_relaxed	normal_beta	clashscore	162	0.61565	0.61692	-0.00126	0.0018	-0.02389	0.02136	0.91244	0.869549	0.0309	negligible	0.960308	0.948599
rigid	blue	amber_af_vs_af_relaxed	dualspace_beta	molprobity_score	162	0.22314	0.22344	-0.0003	0.0012	-0.00374	0.00313	0.861724	0.797639	0.0741	negligible	0.960308	0.948599
rigid	blue	amber_af_vs_af_relaxed	dualspace_beta	clashscore	162	0.66878	0.67291	-0.00414	0.0008	-0.01725	0.00898	0.534306	0.830268	0.0432	negligible	0.907824	0.948599
rigid	green	amber_boltz_vs_boltz	normal_beta	molprobity_score	162	0.21145	0.20586	0.00559	0.0048	-0.00513	0.01631	0.304672	0.381032	0.0926	negligible	0.907824	0.890302
rigid	green	amber_boltz_vs_boltz	normal_beta	clashscore	162	0.58115	0.56303	0.01812	-0.0062	-0.05132	0.08756	0.607086	0.338135	-0.0185	negligible	0.907824	0.890302
