pipeline	comparison	metric	delta	p_value	n
blue	af_unrelaxed→amber_af	clashscore	-21.087953307392997	6.612942516070743e-44	257
blue	af_unrelaxed→amber_af	molprobity_score	-0.850614785992218	6.61080012890799e-44	257
blue	af_unrelaxed→amber_af	rota_outliers	-0.28062256809338515	1.109784422234385e-20	257
blue	af_unrelaxed→amber_af	rms_bonds	-0.009427081712062258	6.690092724867185e-44	257
blue	boltz→amber_boltz	clashscore	-13.48539299610895	6.612886128750182e-44	257
blue	boltz→amber_boltz	molprobity_score	-0.7133151750972762	6.924537852619792e-44	257
blue	boltz→amber_boltz	rota_outliers	0.13487937743190662	9.589924698682914e-15	257
blue	boltz→amber_boltz	rms_bonds	-0.0013543190661478612	1.8112222610978518e-08	257
green	af_unrelaxed→amber_af	clashscore	-21.812259999999995	3.896559845095909e-18	100
green	af_unrelaxed→amber_af	molprobity_score	-0.8591999999999996	3.895021439772567e-18	100
green	af_unrelaxed→amber_af	rota_outliers	-0.19628	7.651337613106681e-06	100
green	af_unrelaxed→amber_af	rms_bonds	-0.009668000000000003	3.896340037647931e-18	100
green	boltz→amber_boltz	clashscore	-13.42024124513619	6.61282974190044e-44	257
green	boltz→amber_boltz	molprobity_score	-0.7109571984435799	7.089666443816499e-44	257
green	boltz→amber_boltz	rota_outliers	0.14404669260700387	4.915037027123793e-16	257
green	boltz→amber_boltz	rms_bonds	-0.0013479377431906605	6.849667334256612e-10	257
