pipeline	protocol	mean	median	std	count
blue	cartesian_beta	0.9299925694799659	0.9572799999999999	0.10095353725179328	391
blue	cartesian_ref15	0.9269868060606061	0.9542999999999999	0.10188363636240319	385
blue	dualspace_beta	0.9230691644908615	0.953444	0.10521001547419709	383
blue	dualspace_ref15	0.9193744788858941	0.95106	0.1066647797856664	371
blue	normal_beta	0.9279806927374301	0.96366	0.11007677271800416	358
blue	normal_ref15	0.9265916047619047	0.9609000000000001	0.11110621492616721	350
green	cartesian_beta	0.9257396020114943	0.95421	0.10401659804938047	464
green	cartesian_ref15	0.922791845705968	0.952271	0.1050067445586946	458
green	dualspace_beta	0.9139058849557522	0.951964	0.1162034295508684	452
green	dualspace_ref15	0.9118325233853006	0.950052	0.1160157532484043	449
green	normal_beta	0.9211157174887893	0.9574340000000001	0.11665936426388311	446
green	normal_ref15	0.9201741469696969	0.95709	0.11687706393322572	440
