pipeline	source	n_targets	rmsd_mean	rmsd_median	rmsd_std	rmsd_min	rmsd_max	tmscore_mean	tmscore_median	tmscore_std	tmscore_min	tmscore_max	gdtts_mean	gdtts_median	gdtts_std	gdtts_min	gdtts_max	gdtha_mean	gdtha_median	gdtha_std	gdtha_min	gdtha_max
blue	af_relaxed	257	1.7481	0.9812	2.6331	0.2104	18.8094	0.9433	0.9763	0.1092	0.1659	0.9987	0.9254	0.9661	0.1258	0.1476	1.0000	0.8426	0.8824	0.1503	0.0822	0.9981
blue	af_unrelaxed	257	1.7387	0.9704	2.6324	0.1992	18.7762	0.9437	0.9765	0.1090	0.1669	0.9987	0.9263	0.9672	0.1255	0.1466	1.0000	0.8449	0.8848	0.1500	0.0831	0.9992
blue	amber_af	257	1.7484	0.9782	2.6330	0.2104	18.8098	0.9433	0.9762	0.1092	0.1659	0.9987	0.9254	0.9664	0.1258	0.1466	1.0000	0.8427	0.8823	0.1504	0.0817	0.9981
blue	amber_boltz	257	1.9797	1.0742	2.9531	0.2626	20.3826	0.9379	0.9710	0.1125	0.1659	0.9981	0.9150	0.9566	0.1301	0.1452	1.0000	0.8250	0.8607	0.1514	0.0812	0.9922
blue	boltz	257	1.9685	1.0658	2.9398	0.2530	20.3696	0.9388	0.9712	0.1120	0.1668	0.9982	0.9162	0.9578	0.1297	0.1471	1.0000	0.8276	0.8633	0.1513	0.0831	0.9922
green	af_relaxed	257	1.7495	0.9912	2.5907	0.2092	18.5436	0.9432	0.9760	0.1089	0.1662	0.9987	0.9253	0.9670	0.1253	0.1471	1.0000	0.8427	0.8857	0.1501	0.0831	0.9981
green	af_unrelaxed	100	1.8452	0.9161	2.8741	0.2476	18.5090	0.9492	0.9778	0.0944	0.3580	0.9984	0.9359	0.9743	0.1171	0.2105	1.0000	0.8592	0.8913	0.1403	0.0925	0.9923
green	amber_af	257	1.7498	0.9872	2.5909	0.2084	18.5516	0.9432	0.9760	0.1089	0.1662	0.9987	0.9253	0.9671	0.1253	0.1461	1.0000	0.8427	0.8851	0.1501	0.0827	0.9983
green	amber_boltz	257	1.9765	1.1008	2.9944	0.2670	20.3956	0.9384	0.9698	0.1123	0.1657	0.9981	0.9153	0.9572	0.1299	0.1452	1.0000	0.8255	0.8639	0.1519	0.0817	0.9911
green	boltz	257	1.9705	1.0954	2.9939	0.2598	20.3830	0.9387	0.9701	0.1122	0.1664	0.9981	0.9159	0.9580	0.1299	0.1461	1.0000	0.8274	0.8653	0.1518	0.0822	0.9916
