target	tm_af_relaxed	tm_af_unrelaxed	tm_boltz	tm_amber_af	tm_amber_boltz	mp_af_relaxed	mp_af_unrelaxed	mp_boltz	mp_amber_af	mp_amber_boltz	clash_af_relaxed	clash_af_unrelaxed	clash_boltz	clash_amber_af	clash_amber_boltz	best_tm_source	best_tm_value	best_mp_source	best_mp_value	amber_af_tm_delta	amber_af_mp_delta	amber_boltz_tm_delta	amber_boltz_mp_delta
1A2K	0.9743	0.9753	0.9868	0.9743	0.9865	0.8640	1.5620	0.9480	0.8980	0.2760	4.4340	24.3520	8.3680	4.8240	0.7000	boltz	0.9868	amber_boltz	0.2760	-0.0009	-0.6640	-0.0004	-0.6720
1ACB	0.9851	0.9858	0.9841	0.9851	0.9839	0.6180	1.6480	0.8140	0.6600	0.1920	1.8220	21.1740	5.5580	1.8200	0.3100	af_unrelaxed	0.9858	amber_boltz	0.1920	-0.0006	-0.9880	-0.0002	-0.6220
1AHW	0.9711	0.9716	0.9737	0.9711	0.9733	0.9340	1.6380	1.1860	0.9300	0.3640	3.3340	28.1940	15.1540	3.2740	1.2420	boltz	0.9737	amber_boltz	0.3640	-0.0006	-0.7080	-0.0004	-0.8220
1AK4	0.9906	0.9907	0.9872	0.9906	0.9870	0.5440	1.5580	1.1260	0.5320	0.4800	1.3420	20.2100	12.1600	1.3860	1.6500	af_unrelaxed	0.9907	amber_boltz	0.4800	-0.0001	-1.0260	-0.0002	-0.6460
1AKJ	0.9793	0.9794	0.9746	0.9794	0.9744	0.8060	1.5220	1.1160	0.8140	0.4480	3.8700	26.3740	13.2160	5.0580	1.7820	af_unrelaxed	0.9794	amber_boltz	0.4480	-0.0000	-0.7080	-0.0002	-0.6680
1ATN	0.9820	0.9822	0.9321	0.9820	0.9320	0.3820	1.1640	0.9940	0.4040	0.2760	1.0420	11.1480	9.3460	1.0640	0.9000	af_unrelaxed	0.9822	amber_boltz	0.2760	-0.0002	-0.7600	-0.0001	-0.7180
1AVX	0.9959	0.9961	0.9955	0.9958	0.9952	0.3920	1.1580	0.9840	0.3820	0.4160	0.7820	11.4280	7.8300	0.7140	0.6800	af_unrelaxed	0.9961	amber_af	0.3820	-0.0003	-0.7760	-0.0003	-0.5680
1AY7	0.9873	0.9878	0.9898	0.9873	0.9888	0.1040	1.0380	0.6780	0.1300	0.1560	0.2800	8.8400	4.0380	0.3500	0.4880	boltz	0.9898	af_relaxed	0.1040	-0.0005	-0.9080	-0.0010	-0.5220
1AZS	0.9847	0.9844	0.9901	0.9847	0.9901	0.4260	1.3200	1.1160	0.4280	0.4160	1.4180	16.8460	12.8140	1.4380	1.4500	boltz	0.9901	amber_boltz	0.4160	0.0003	-0.8920	-0.0000	-0.7000
1B6C	0.9884	0.9892	0.9916	0.9883	0.9914	1.3480	2.1740	1.1160	1.3300	0.3240	6.6600	36.5740	12.7160	5.7040	0.8740	boltz	0.9916	amber_boltz	0.3240	-0.0009	-0.8440	-0.0002	-0.7920
1BKD	0.9510	0.9514	0.9837	0.9510	0.9836	0.5800	1.5680	1.0260	0.5840	0.3560	1.7060	22.3740	9.6440	1.8640	0.9200	boltz	0.9837	amber_boltz	0.3560	-0.0004	-0.9840	-0.0002	-0.6700
1BUH	0.9185	0.9190	0.9745	0.9185	0.9746	0.5400	1.6480	1.0020	0.5440	0.2160	1.4280	21.4160	9.5160	1.4620	0.6800	amber_boltz	0.9746	amber_boltz	0.2160	-0.0005	-1.1040	0.0001	-0.7860
1BVN	0.9958	0.9960	0.9940	0.9958	0.9940	0.1920	1.1480	0.8960	0.2000	0.2840	0.2780	13.2120	7.1880	0.3020	0.8600	af_unrelaxed	0.9960	af_relaxed	0.1920	-0.0001	-0.9480	0.0000	-0.6120
1CGI	0.9854	0.9867	0.9874	0.9855	0.9870	0.7580	1.6520	1.1240	0.9320	0.3480	2.6440	24.0180	13.5500	4.4680	1.0960	boltz	0.9874	amber_boltz	0.3480	-0.0012	-0.7200	-0.0004	-0.7760
1CLV	0.9960	0.9959	0.9950	0.9960	0.9951	0.6720	1.5800	1.0740	0.6720	0.4920	1.9480	18.9820	8.7420	1.9460	0.6780	af_relaxed	0.9960	amber_boltz	0.4920	0.0001	-0.9080	0.0000	-0.5820
