target	source	model_idx	blue_rmsd	green_rmsd	rmsd_diff	blue_tmscore	green_tmscore	tmscore_diff	blue_gdtts	green_gdtts	gdtts_diff
1A2K	af_relaxed	0	0.7960	0.8150	-0.0190	0.9858	0.9851	0.0007	0.9940	0.9919	0.0021
1A2K	af_relaxed	1	0.8310	0.8920	-0.0610	0.9767	0.9823	-0.0056	0.9839	0.9879	-0.0040
1A2K	af_relaxed	2	0.9540	0.7710	0.1830	0.9715	0.9833	-0.0118	0.9798	0.9899	-0.0101
1A2K	af_relaxed	3	0.8850	0.7400	0.1450	0.9746	0.9843	-0.0097	0.9839	0.9899	-0.0060
1A2K	af_relaxed	4	1.7060	1.0710	0.6350	0.9630	0.9695	-0.0065	0.9758	0.9798	-0.0040
1A2K	af_unrelaxed	0	0.8750	0.8090	0.0660	0.9752	0.9853	-0.0101	0.9839	0.9940	-0.0101
1A2K	af_unrelaxed	1	0.7910	0.8780	-0.0870	0.9860	0.9831	0.0029	0.9940	0.9879	0.0061
1A2K	af_unrelaxed	2	1.6770	0.7700	0.9070	0.9651	0.9834	-0.0183	0.9778	0.9899	-0.0121
1A2K	af_unrelaxed	3	0.9400	0.7210	0.2190	0.9724	0.9846	-0.0122	0.9798	0.9899	-0.0101
1A2K	af_unrelaxed	4	0.7890	1.0550	-0.2660	0.9777	0.9712	0.0065	0.9839	0.9819	0.0020
1A2K	amber_af	0	0.8850	0.8150	0.0700	0.9746	0.9851	-0.0105	0.9839	0.9919	-0.0080
1A2K	amber_af	1	0.7970	0.8920	-0.0950	0.9857	0.9824	0.0033	0.9940	0.9879	0.0061
1A2K	amber_af	2	1.7030	0.7690	0.9340	0.9633	0.9834	-0.0201	0.9758	0.9899	-0.0141
1A2K	amber_af	3	0.9570	0.7400	0.2170	0.9714	0.9843	-0.0129	0.9798	0.9899	-0.0101
1A2K	amber_af	4	0.8320	1.0720	-0.2400	0.9767	0.9695	0.0072	0.9839	0.9798	0.0041
1A2K	amber_boltz	0	0.5800	0.3490	0.2310	0.9881	0.9930	-0.0049	0.9960	1.0000	-0.0040
1A2K	amber_boltz	1	0.6140	0.5860	0.0280	0.9873	0.9875	-0.0002	0.9960	0.9940	0.0020
1A2K	amber_boltz	2	0.7430	0.6080	0.1350	0.9845	0.9875	-0.0030	0.9919	0.9960	-0.0041
1A2K	amber_boltz	3	0.7220	0.4130	0.3090	0.9860	0.9904	-0.0044	0.9940	0.9960	-0.0020
1A2K	amber_boltz	4	0.6180	0.6260	-0.0080	0.9864	0.9871	-0.0007	0.9919	0.9960	-0.0041
1A2K	boltz	0	0.5700	0.3440	0.2260	0.9884	0.9932	-0.0048	0.9960	0.9980	-0.0020
1A2K	boltz	1	0.6010	0.5640	0.0370	0.9876	0.9880	-0.0004	0.9960	0.9940	0.0020
1A2K	boltz	2	0.7210	0.5860	0.1350	0.9850	0.9881	-0.0031	0.9919	0.9960	-0.0041
1A2K	boltz	3	0.7250	0.3950	0.3300	0.9862	0.9912	-0.0050	0.9940	0.9960	-0.0020
1A2K	boltz	4	0.5870	0.6170	-0.0300	0.9870	0.9873	-0.0003	0.9940	0.9960	-0.0020
1ACB	af_relaxed	0	1.2030	1.1970	0.0060	0.9843	0.9843	0.0000	0.9811	0.9821	-0.0010
1ACB	af_relaxed	1	1.1870	1.1890	-0.0020	0.9842	0.9842	0.0000	0.9821	0.9811	0.0010
1ACB	af_relaxed	2	1.0450	1.0680	-0.0230	0.9862	0.9866	-0.0004	0.9811	0.9832	-0.0021
1ACB	af_relaxed	3	1.1210	1.0470	0.0740	0.9848	0.9862	-0.0014	0.9821	0.9811	0.0010
1ACB	af_relaxed	4	1.0650	1.0930	-0.0280	0.9861	0.9865	-0.0004	0.9811	0.9821	-0.0010
1ACB	af_unrelaxed	0	1.1920	1.1870	0.0050	0.9846	0.9846	0.0000	0.9821	0.9821	0.0000
1ACB	af_unrelaxed	1	1.0420	1.1730	-0.1310	0.9868	0.9846	0.0022	0.9811	0.9811	0.0000
1ACB	af_unrelaxed	2	1.1040	1.0500	0.0540	0.9854	0.9873	-0.0019	0.9821	0.9842	-0.0021
1ACB	af_unrelaxed	3	1.0390	1.0430	-0.0040	0.9874	0.9868	0.0006	0.9821	0.9811	0.0010
1ACB	af_unrelaxed	4	1.1700	1.0530	0.1170	0.9846	0.9877	-0.0031	0.9821	0.9853	-0.0032
1ACB	amber_af	0	1.2030	1.1970	0.0060	0.9843	0.9843	0.0000	0.9811	0.9821	-0.0010
1ACB	amber_af	1	1.0460	1.1870	-0.1410	0.9862	0.9842	0.0020	0.9811	0.9811	0.0000
1ACB	amber_af	2	1.1210	1.0660	0.0550	0.9848	0.9866	-0.0018	0.9821	0.9832	-0.0011
1ACB	amber_af	3	1.0720	1.0470	0.0250	0.9861	0.9861	0.0000	0.9811	0.9811	0.0000
1ACB	amber_af	4	1.1870	1.0970	0.0900	0.9842	0.9865	-0.0023	0.9821	0.9832	-0.0011
1ACB	amber_boltz	0	1.1930	1.2060	-0.0130	0.9838	0.9835	0.0003	0.9800	0.9800	0.0000
1ACB	amber_boltz	1	1.2090	1.1970	0.0120	0.9838	0.9842	-0.0004	0.9821	0.9811	0.0010
1ACB	amber_boltz	2	1.2240	1.1500	0.0740	0.9837	0.9846	-0.0009	0.9811	0.9832	-0.0021
1ACB	amber_boltz	3	1.1600	1.1810	-0.0210	0.9845	0.9837	0.0008	0.9821	0.9821	0.0000
1ACB	amber_boltz	4	1.2190	1.2460	-0.0270	0.9839	0.9833	0.0006	0.9811	0.9800	0.0011
1ACB	boltz	0	1.1870	1.2070	-0.0200	0.9840	0.9836	0.0004	0.9800	0.9800	0.0000
1ACB	boltz	1	1.2040	1.1970	0.0070	0.9839	0.9843	-0.0004	0.9821	0.9811	0.0010
1ACB	boltz	2	1.2210	1.1440	0.0770	0.9839	0.9848	-0.0009	0.9811	0.9832	-0.0021
1ACB	boltz	3	1.1540	1.1710	-0.0170	0.9847	0.9840	0.0007	0.9832	0.9821	0.0011
1ACB	boltz	4	1.2130	1.2440	-0.0310	0.9841	0.9834	0.0007	0.9821	0.9800	0.0021
1AHW	af_relaxed	0	1.0830	1.0380	0.0450	0.9726	0.9754	-0.0028	0.9533	0.9626	-0.0093
1AHW	af_relaxed	1	1.1410	1.1280	0.0130	0.9691	0.9699	-0.0008	0.9428	0.9451	-0.0023
1AHW	af_relaxed	2	1.1460	1.1610	-0.0150	0.9688	0.9674	0.0014	0.9439	0.9451	-0.0012
1AHW	af_relaxed	3	1.0380	1.1710	-0.1330	0.9752	0.9669	0.0083	0.9614	0.9369	0.0245
1AHW	af_relaxed	4	1.1270	1.0500	0.0770	0.9697	0.9745	-0.0048	0.9509	0.9591	-0.0082
1AHW	af_unrelaxed	0	1.0270	1.0250	0.0020	0.9755	0.9759	-0.0004	0.9650	0.9650	0.0000
1AHW	af_unrelaxed	1	1.1150	1.1150	0.0000	0.9702	0.9705	-0.0003	0.9498	0.9463	0.0035
1AHW	af_unrelaxed	2	1.1310	1.1490	-0.0180	0.9695	0.9679	0.0016	0.9439	0.9463	-0.0024
1AHW	af_unrelaxed	3	1.0650	1.1420	-0.0770	0.9734	0.9687	0.0047	0.9544	0.9428	0.0116
1AHW	af_unrelaxed	4	1.1310	1.0310	0.1000	0.9695	0.9754	-0.0059	0.9439	0.9638	-0.0199
1AHW	amber_af	0	1.0380	1.0370	0.0010	0.9752	0.9755	-0.0003	0.9614	0.9638	-0.0024
1AHW	amber_af	1	1.1260	1.1280	-0.0020	0.9697	0.9699	-0.0002	0.9509	0.9451	0.0058
1AHW	amber_af	2	1.1420	1.1610	-0.0190	0.9690	0.9674	0.0016	0.9428	0.9451	-0.0023
1AHW	amber_af	3	1.0840	1.1560	-0.0720	0.9726	0.9680	0.0046	0.9521	0.9428	0.0093
