target	pipeline	src_type	model	protocol	rep	rmsd	tmscore	gdtts	gdtha	aligned_len	seq_len	source
1A2K	blue	af_relaxed_ranked_0	af_relaxed_ranked_0	cartesian_beta	1	0.948	0.9658	0.9597	0.8306	123	124	af_relaxed
1A2K	blue	af_relaxed_ranked_0	af_relaxed_ranked_0	cartesian_beta	2	1.022	0.9581	0.9476	0.7984	123	124	af_relaxed
1A2K	blue	af_relaxed_ranked_0	af_relaxed_ranked_0	cartesian_beta	3	1.068	0.9581	0.9496	0.8165	123	124	af_relaxed
1A2K	blue	af_relaxed_ranked_0	af_relaxed_ranked_0	cartesian_beta	4	1.019	0.9606	0.9556	0.8145	123	124	af_relaxed
1A2K	blue	af_relaxed_ranked_0	af_relaxed_ranked_0	cartesian_beta	5	0.961	0.9633	0.9637	0.8327	123	124	af_relaxed
1A2K	blue	af_relaxed_ranked_0	af_relaxed_ranked_0	cartesian_ref15	1	0.873	0.9708	0.9758	0.8649	123	124	af_relaxed
1A2K	blue	af_relaxed_ranked_0	af_relaxed_ranked_0	cartesian_ref15	2	0.957	0.9618	0.9677	0.8125	123	124	af_relaxed
1A2K	blue	af_relaxed_ranked_0	af_relaxed_ranked_0	cartesian_ref15	3	0.966	0.9613	0.9677	0.8226	123	124	af_relaxed
1A2K	blue	af_relaxed_ranked_0	af_relaxed_ranked_0	cartesian_ref15	4	0.933	0.9648	0.9698	0.8468	123	124	af_relaxed
1A2K	blue	af_relaxed_ranked_0	af_relaxed_ranked_0	cartesian_ref15	5	0.994	0.9612	0.9597	0.8286	123	124	af_relaxed
1A2K	blue	af_relaxed_ranked_0	af_relaxed_ranked_0	dualspace_beta	1	0.948	0.9631	0.9657	0.8306	123	124	af_relaxed
1A2K	blue	af_relaxed_ranked_0	af_relaxed_ranked_0	dualspace_beta	2	1.016	0.965	0.9657	0.8427	123	124	af_relaxed
1A2K	blue	af_relaxed_ranked_0	af_relaxed_ranked_0	dualspace_beta	3	0.977	0.962	0.9556	0.8206	123	124	af_relaxed
1A2K	blue	af_relaxed_ranked_0	af_relaxed_ranked_0	dualspace_beta	4	0.926	0.9621	0.9617	0.8306	123	124	af_relaxed
